#frame-timestamp,tcp-ack-rtt,tcp-stream-id
"1611336442.750143006","0.039583780","0"
"1611336443.002436800","0.041769282","0"
"1611336443.251176239","0.040232318","0"
"1611336443.503958671","0.043235419","0"
"1611336443.751584653","0.040869367","0"
"1611336444.001350501","0.040114813","0"
"1611336444.251278093","0.039646550","0"
"1611336444.502647502","0.040696322","0"
"1611336444.752371260","0.040306400","0"
"1611336445.004002331","0.041393868","0"
"1611336445.252605297","0.039497894","0"
"1611336445.502310706","0.038831091","0"
"1611336445.752473494","0.039423487","0"
"1611336446.003616373","0.039385625","0"
"1611336446.256473376","0.042083763","0"
"1611336446.508430204","0.043744432","0"
"1611336446.749954035","0.035374400","0"
"1611336446.803799934","0.037178554","1"
"1611336446.839096989","0.034581349","1"
"1611336446.879878013","0.033255188","1"
"1611336446.880925887","0.033975609","1"
"1611336446.916264156","0.034345289","1"
"1611336446.924547528","0.040933526","1"
"1611336446.927165685","0.043191848","1"
"1611336446.928333253","0.044234649","1"
"1611336446.935780321","0.051516098","1"
"1611336446.939692318","0.055328828","1"
"1611336446.945766737","0.061311762","1"
"1611336447.176106794","0.041637853","1"
"1611336447.190991309","0.055755826","1"
"1611336447.195891921","0.060530891","1"
"1611336447.427795245","0.043096818","1"
"1611336447.442161219","0.056570770","1"
"1611336447.447812929","0.062004788","1"
"1611336447.675185075","0.041105939","1"
"1611336447.690862856","0.056697303","1"
"1611336447.696466982","0.062284622","1"
"1611336447.929820283","0.044919573","1"
"1611336447.944781609","0.059216928","1"
"1611336447.949624558","0.063946160","1"
"1611336448.176430133","0.041663784","1"
"1611336448.191214635","0.055809442","1"
"1611336448.197147418","0.061581448","1"
"1611336448.427340038","0.042452264","1"
"1611336448.442165632","0.057107268","1"
"1611336448.447374717","0.062290260","1"
"1611336448.680908650","0.045159339","1"
"1611336448.695868495","0.059092218","1"
"1611336448.701043047","0.064110798","1"
"1611336448.928396266","0.042767745","1"
"1611336448.949795646","0.063516944","1"
"1611336449.177378414","0.041324193","1"
"1611336449.192970507","0.056086686","1"
"1611336449.198363054","0.061313090","1"
"1611336449.427329282","0.041176379","1"
"1611336449.444350320","0.057741055","1"
"1611336449.454696040","0.068044039","1"
"1611336449.677484413","0.041061588","1"
"1611336449.693386506","0.056528358","1"
"1611336449.698558346","0.061665679","1"
"1611336449.927553233","0.040872249","1"
"1611336449.942271508","0.055228626","1"
"1611336449.947249136","0.060157255","1"
"1611336450.179852340","0.043635699","1"
"1611336450.193818856","0.057495733","1"
"1611336450.199846144","0.063510653","1"
"1611336450.427104794","0.040551936","1"
"1611336450.442509918","0.055715129","1"
"1611336450.448325718","0.061500214","1"
"1611336450.681663397","0.045009492","1"
"1611336450.693117368","0.056030175","1"
"1611336450.699584795","0.062454516","1"
"1611336450.928500326","0.041557476","1"
"1611336450.944425146","0.056950700","1"
"1611336450.948471944","0.060949199","1"
"1611336451.178659062","0.041414184","1"
"1611336451.194003356","0.056198943","1"
"1611336451.199662072","0.061806948","1"
"1611336451.428315890","0.040752463","1"
"1611336451.443745322","0.055590603","1"
"1611336451.451365538","0.063081321","1"
"1611336451.686059885","0.048250056","1"
"1611336451.702310976","0.064043825","1"
"1611336451.705925616","0.067634982","1"
"1611336451.921015552","0.033282739","1"
"1611336451.980070298","0.042082658","2"
"1611336452.022478314","0.040659953","2"
"1611336452.066015321","0.038747802","2"
"1611336452.067092048","0.039638955","2"
"1611336452.107459353","0.038689840","2"
"1611336452.112513665","0.041305103","2"
"1611336452.613505490","0.041693040","2"
"1611336453.113543155","0.042065385","2"
"1611336453.615131518","0.042630566","2"
"1611336454.115038214","0.043093273","2"
"1611336454.614891523","0.042867502","2"
"1611336455.115120621","0.042714660","2"
"1611336455.615608635","0.043102027","2"
"1611336456.115204463","0.042507011","2"
"1611336456.616317044","0.043141957","2"
"1611336457.117679595","0.044098705","2"
"1611336457.181543515","0.043389766","3"
"1611336457.226351460","0.043812456","3"
"1611336457.274757967","0.038581088","3"
"1611336457.275879780","0.039535976","3"
"1611336457.321110716","0.038288252","3"
"1611336457.332796551","0.048056010","3"
"1611336457.335376639","0.050469009","3"
"1611336457.338601914","0.053628056","3"
"1611336457.344761826","0.059661622","3"
"1611336457.348496951","0.063337628","3"
"1611336457.353744166","0.068517933","3"
"1611336457.835114405","0.050361317","3"
"1611336457.850601787","0.064800307","3"
"1611336457.853003807","0.067034724","3"
"1611336458.332163949","0.046368094","3"
"1611336458.347237684","0.060702994","3"
"1611336458.353214206","0.066541163","3"
"1611336458.833707500","0.047187630","3"
"1611336458.848436247","0.061365982","3"
"1611336458.853475355","0.066350622","3"
"1611336459.457340821","0.171139194","3"
"1611336459.461384039","0.174772764","3"
"1611336459.463948158","0.177307224","3"
"1611336459.879933221","0.093546354","3"
"1611336459.882800915","0.096113352","3"
"1611336459.890998567","0.104242731","3"
"1611336459.893767857","0.106984858","3"
"1611336459.899745778","0.112940342","3"
"1611336460.398468948","0.111333639","3"
"1611336460.401168498","0.113555252","3"
"1611336460.409601059","0.121857642","3"
"1611336460.414585831","0.126762755","3"
"1611336460.419783341","0.131903832","3"
"1611336460.978979935","0.192261415","3"
"1611336460.978987915","0.192158048","3"
"1611336460.979219892","0.192366726","3"
"1611336460.979259017","0.192393433","3"
"1611336460.979425757","0.192533896","3"
"1611336461.426878058","0.139488502","3"
"1611336461.428573928","0.140791940","3"
"1611336461.463462369","0.175597047","3"
"1611336461.943049942","0.155809844","3"
"1611336461.943060845","0.155656584","3"
"1611336461.943087219","0.155633962","3"
"1611336461.943094638","0.155624932","3"
"1611336461.948253393","0.160766490","3"
"1611336462.512345131","0.225267348","3"
"1611336462.822143655","0.161672163","4"
"1611336462.961236453","0.137773019","4"
"1611336463.123040650","0.157114906","4"
"1611336463.125059630","0.158511758","4"
"1611336463.273329820","0.146841270","4"
"1611336463.273572998","0.146210789","4"
"1611336463.582967746","0.205175208","4"
"1611336463.777477054","0.149388048","4"
"1611336463.922452438","0.044698495","4"
"1611336464.171376266","0.043026372","4"
"1611336464.422768881","0.044400448","4"
"1611336464.671467473","0.042717046","4"
"1611336464.930050045","0.051150817","4"
"1611336465.176563951","0.047630047","4"
"1611336465.421624654","0.042176553","4"
"1611336465.672598066","0.043231922","4"
"1611336465.922494451","0.042613036","4"
"1611336466.172500639","0.042494848","4"
"1611336466.421295577","0.041370777","4"
